Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,
,,-63.5,-63,-59.9,-54.9,-49.6,-44.8,-43.9,-46.2,-50.5,-54,-57.4,-61,-54,
New Zealand,Dunedin,15.3,15,13.7,11.7,9.3,7.3,6.6,7.7,9.5,10.9,12.4,13.9,11.1,
,,-59.5,-59,-56.7,-53.1,-48.7,-45.1,-43.9,-45.9,-49.1,-51.6,-54.3,-57,-52,
New Zealand,Hamilton,18.4,18.8,17.1,14.5,11.9,9.5,8.9,9.8,11.6,13.2,14.9,16.9,13.8,
,,-65.1,-65.8,-62.8,-58.1,-53.4,-49.1,-48,-49.6,-52.9,-55.8,-58.8,-62.4,-56.8,
New Zealand,Lake Tekapo,15.2,14.8,12.4,9.2,5.9,2.6,1.4,3.6,6.5,8.8,11.1,13.2,8.7,
,,-59.4,-58.6,-54.3,-48.6,-42.6,-36.7,-34.5,-38.5,-43.7,-47.8,-52,-55.8,-47.7,
New Zealand,Napier,19.5,19.4,17.7,15,12.4,10,9.4,10.3,12.3,14.3,16.1,18.4,14.6,
,,-67.1,-66.9,-63.9,-59,-54.3,-50,-48.9,-50.5,-54.1,-57.7,-61,-65.1,-58.3,
New Zealand,Palmerston North,17.8,18.3,16.4,13.6,11.4,9.1,8.6,9.2,11,12.4,13.8,16.2,13.2,
,,-64,-64.9,-61.5,-56.5,-52.5,-48.4,-47.5,-48.6,-51.8,-54.3,-56.8,-61.2,-55.8,
New Zealand,Tauranga,19.4,19.6,18,15.5,13.2,10.8,10.2,10.7,12.3,13.9,15.8,18,14.8,
,,-66.9,-67.3,-64.4,-59.9,-55.8,-51.4,-50.4,-51.3,-54.1,-57,-60.4,-64.4,-58.6,
New Zealand,Wellington,16.9,17.2,15.8,13.7,11.7,9.7,8.9,9.4,10.8,12,13.5,15.4,12.9,
,,-62.4,-63,-60.4,-56.7,-53.1,-49.5,-48,-48.9,-51.4,-53.6,-56.3,-59.7,-55.2,
Papua New Guinea,Port Moresby,27.4,27.3,27.1,27,26.9,26.1,25.7,26.1,26.5,27.5,27.6,27.8,26.9,
,,-81.3,-81.1,-80.8,-80.6,-80.4,-79,-78.3,-79,-79.7,-81.5,-81.7,-82,-80.4,
Solomon Islands,Honiara,26.7,26.6,26.6,26.5,26.6,26.4,26.1,26.2,26.5,26.5,26.7,26.8,26.5,
,,-80.1,-79.9,-79.9,-79.7,-79.9,-79.5,-79,-79.2,-79.7,-79.7,-80.1,-80.2,-79.7,
United States,Honolulu,22.9,22.9,23.7,24.6,25.6,26.8,27.4,27.8,27.6,26.8,25.4,23.8,25.4,
,,-73.2,-73.2,-74.7,-76.3,-78.1,-80.2,-81.3,-82,-81.7,-80.2,-77.7,-74.8,-77.7,
Vanuatu,Port Vila,26.4,26.5,26.3,25.3,24.1,23,22.1,22,22.7,23.4,24.6,25.7,24.3,
,,-79.5,-79.7,-79.3,-77.5,-75.4,-73.4,-71.8,-71.6,-72.9,-74.1,-76.3,-78.3,-75.7,
