,Name,Country,Population
620,Oran,Algeria,910030
621,West Rand,South Africa,909301
622,Owerri,Nigeria,908109
623,Campo Grande,Brazil,907028
624,Liverpool,United Kingdom,906443
625,Antipolo,Philippines,902993
626,Najaf,Iraq,901405
627,Zhangzhou,China,900904
628,Bergamo,Italy,900094
629,Donetsk,Ukraine,899325
630,Tianmen,China,899094
631,Warri,Nigeria,898927
632,Londrina,Brazil,898681
633,Leiyang,China,896394
634,Malang,Indonesia,896009
635,La Plata,Argentina,894159
636,Concepcion,Chile,891744
637,Hengshui,China,891603
638,Linfen,China,891049
639,Xinyu,China,890884
640,Sylhet,Bangladesh,890180
641,Dandong,China,890031
642,Indianapolis,United States,887232
643,Nampula,Mozambique,887055
644,Deyang,China,885818
645,Hermosillo,Mexico,883916
646,San Francisco,United States,883255
647,Trujillo,Peru,877875
648,Taiz,Yemen,875941
649,Guntur,India,875474
650,Jiangyin,China,874924
651,Bhiwandi,India,874032
652,Lubango,Angola,870935
653,Liaoyang,China,870185
654,Bahawalpur,Pakistan,869548
655,Changzhi,China,868308
656,Tyumen,Russia,866741
657,Soshanguve,South Africa,866005
658,Tuxtla Gutierrez,Mexico,865000
659,Ashgabat,Turkmenistan,864695
660,Erbil,Iraq,861158
661,Baishan,China,859381
662,Liling,China,857167
663,Tainan,Taiwan,856736
664,Puducherry,India,856354
665,Culiacan,Mexico,856072
666,Changde,China,853497
667,Fuxin,China,850647
668,Palermo,Italy,850179
669,Shangqiu,China,850165
670,Xingtai,China,849674
671,Hufuf-Mubarraz,Saudi Arabia,848479
672,Firozabad,India,845746
673,Libreville,Gabon,845100
674,Huangshi,China,844307
675,Saratov,Russia,840883
676,Banghazi,Libya,836031
677,Valencia,Spain,835341
678,Luzhou,China,833637
679,Quebec City,Canada,831776
680,Yibin,China,831013
681,Bucheon,South Korea,829592
682,Ipoh,Malaysia,827719
683,Winnipeg,Canada,824771
684,Bogra,Bangladesh,820297
685,Cabinda,Angola,819452
686,Umuahia,Nigeria,816983
687,Xinyang,China,816967
688,Xinghua,China,815780
689,Newcastle upon Tyne,United Kingdom,813807
690,Yangquan,China,813696
691,Thessaloniki,Greece,812964
692,Yongzhou,China,809415
693,Bologna,Italy,808931
694,Orumiyeh,Iran,808149
695,Xiaogan,China,806258
696,Heze,China,804759
697,Barcelona-Puerto La Cruz,Venezuela,804488
698,Maiduguri,Nigeria,802988
699,Kuerle,China,801993
700,Niigata,Japan,801982
701,Eskisehir,Turkey,801612
702,Cherthala,India,801264
703,Quzhou,China,798191
704,Zhuji,China,796974
705,Sorocaba,Brazil,795569
706,Haicheng,China,795424
707,Enugu,Nigeria,795271
708,Nottingham,United Kingdom,794008
709,Tianshui,China,790461
710,Huludao,China,790403
711,Xalapa,Mexico,787349
712,Bikaner,India,786652
713,Frankfurt,Germany,784780
714,Huaihua,China,784323
715,Nakhon Ratchasima,Thailand,783180
716,Vereeniging,South Africa,779530
717,Liaocheng,China,778562
718,Seattle,United States,776555
719,Jiaozuo,China,775685
720,Bozhou,China,773217
721,Nellore,India,772941
722,Hamilton,Canada,770976
723,Gebze,Turkey,769633
724,Taixing,China,769620
725,Cagayan de Oro City,Philippines,769620
726,Krakow,Poland,769307
727,Kunshan,China,769021
728,Shaoguan,China,767557
729,Gorakhpur,India,766646
730,Dasmarinas,Philippines,765742
731,Amravati,India,764645
732,Jincheng,China,763554
733,Langfang,China,763320
734,Ansan,South Korea,762698
735,Ar-Rayyan,Qatar,759174
736,Sulaimaniya,Iraq,758795
737,Cuttack,India,751859
738,Bur Sa'id,Egypt,750373
739,Denver,United States,749103
740,Meishan,China,748981
741,Zhumadian,China,747329
742,Zigong,China,746711
743,Benguela,Angola,745372
744,Gaomi,China,745055
745,Anqing,China,744768
746,Qingyuan,China,744726
747,Banjarmasin,Indonesia,744334
748,Hanchuan,China,743610
749,Danyang,China,743482
750,Muzaffarnagar,India,742227
751,Lokoja,Nigeria,741482
752,Kumamoto,Japan,741455
753,Kottayam,India,739212
754,Belgaum,India,738074
755,Zarqa,Jordan,737085
756,Zaria,Nigeria,736098
757,Sheffield,United Kingdom,735292
758,Zanzibar,Tanzania,734832
759,Gaza,Palestine,734547
760,Zaragoza,Spain,733825
761,Linhai,China,732334
762,Zaporizhzhya,Ukraine,731984
763,Malegaon,India,731493
764,Sao Jose dos Campos,Brazil,731481
765,Oshogbo,Nigeria,730529
766,Erduosi-Ordoss,China,730229
767,Shaoyang,China,729522
768,Kayamkulam,India,726675
769,Jiamusi,China,726622
770,Mangalore,India,724159
771,Okayama,Japan,724157
772,Ribeirao Preto,Brazil,724044
773,Xianyang Shaanxi,China,723612
774,Bunia,DR Congo,723276
775,Lviv,Ukraine,722476
776,Rasht,Iran,722026
777,Anqiu,China,721402
778,Tongliao,China,720662
779,Cheongju,South Korea,720584
780,Sialkot,Pakistan,720439
781,Maturin,Venezuela,717788
782,Buffalo City,South Africa,717067
783,Panzhihua,China,716878
784,Suining Sichuan,China,716754
785,Yanji,China,716660
786,Tongling,China,715946
787,Wuzhou,China,715472
788,Oaxaca de Juarez,Mexico,714983
789,Washington,United States,714153
790,Sargodha,Pakistan,712961
791,Bhavnagar,India,711625
792,Gold Coast,Australia,710650
793,Yan'an,China,710029
794,Kitwe,Zambia,709854
795,Florence,Italy,709064
796,Jammu,India,708612
797,Yulin Shaanxi,China,706571
798,Nanded Waghala,India,705667
799,Dazhou,China,705321
800,Tirupati,India,704615
801,Bacoor,Philippines,704334
802,Malanje,Angola,704271
803,Dengzhou,China,703922
804,The Hague,Netherlands,703588
805,Longyan,China,703524
806,Yuncheng,China,703194
807,Seville,Spain,702386
808,Cotonou,Benin,698868
809,Dongtai,China,698218
810,Tolyatti,Russia,696889
811,Salta,Argentina,696715
812,Merca,Somalia,696510
813,Bali,Indonesia,695940
814,Yuyao,China,695704
815,Boston,United States,695506
816,Uberlandia,Brazil,695461
817,Taif,Saudi Arabia,694894
818,Yuxi,China,693811
819,Vientiane,Laos,693594
820,Bristol,United Kingdom,693552
821,Akure,Nigeria,690533
822,Ibb,Yemen,690456
823,Celaya,Mexico,689735
824,Al-Hudaydah,Yemen,689640
825,Cheonan,South Korea,688543
826,Jundiai,Brazil,688192
827,Gulbarga,India,687882
828,Huambo,Angola,687795
829,Padova,Italy,687698
830,Durgapur,India,686568
831,Kurnool,India,685818
832,El Paso,United States,685434
833,Nantes,France,685377
834,Buraydah,Saudi Arabia,684626
835,Zagreb,Croatia,684524
836,Zhangjiagang,China,683500
837,Pontianak,Indonesia,680655
838,Amara,Iraq,680156
839,Liege,Belgium,679895
840,Taicang,China,679623
841,Nashville,United States,678448
842,Genoa,Italy,677222
843,Ezhou,China,676600
844,Santiago,Dominican Republic,672272
845,Mar Del Plata,Argentina,672116
846,Tamale,Ghana,671812
847,Zhoukou,China,671419
848,Lodz,Poland,671395
849,Goma,DR Congo,670218
850,Oklahoma City,United States,669347
851,Lattakia,Syria,668809
852,Las Vegas,United States,667501
853,Tabuk,Saudi Arabia,667155
854,Ankang,China,666656
855,General Santos City,Philippines,665418
856,Renqiu,China,664262
857,Detroit,United States,664139
858,Manama,Bahrain,663893
859,Loudi,China,663765
860,Jeonju,South Korea,663607
861,Bijie,China,662697
862,Portland,United States,662549
863,Sokoto,Nigeria,662173
864,Qinzhou,China,661953
865,Macao,Macau,661838
866,Samsun,Turkey,660863
867,Denizli,Turkey,660643
868,Zhoushan,China,659777
869,Busto Arsizio,Italy,657698
870,Tongxiang,China,656136
871,Longhai,China,655081
872,Puyang,China,654261
873,Hezhou,China,654185
874,Jhansi,India,653879
875,Neijiang,China,653866
876,Izhevsk,Russia,651601
877,Memphis,United States,651011
878,Jamnagar,India,650977
879,As-Suways,Egypt,649368
880,Erode,India,647988
881,Doha,Qatar,646177
882,Pachuca de Soto,Mexico,646101
883,Haimen,China,645598
884,Chongjin,North Korea,645488
885,Chiclayo,Peru,645366
886,Wuhai,China,644895
887,Hegang,China,644894
888,Sanya,China,644727
889,Be'er Sheva,Israel,644278
890,Durango,Mexico,642750
891,Bokaro Steel City,India,642145
892,Wroclaw,Poland,642085
893,Irkutsk,Russia,641504
894,Barnaul,Russia,640396
895,Nay Pyi Taw,Myanmar,639759
896,Bulawayo,Zimbabwe,639722
897,Miluo,China,639015
898,Venezia,Italy,638264
899,Jambi,Indonesia,637037
900,Safaqis,Tunisia,636613
901,Khabarovsk,Russia,636254
902,Herat,Afghanistan,635579
903,Duesseldorf,Germany,635046
904,Belfast,United Kingdom,634594
905,Nasiriyah,Iraq,634492
906,Stuttgart,Germany,633808
907,Verona,Italy,633128
908,Raurkela,India,631310
909,Jubayl,Saudi Arabia,631060
910,Riga,Latvia,627763
911,Bandar Abbas,Iran,627174
912,Kolhapur,India,626791
913,Bacolod,Philippines,624783
914,Seregno,Italy,624706
915,Ulyanovsk,Russia,624103
916,Uvira,DR Congo,622862
917,Al-Ain,United Arab Emirates,622675
918,Bari,Italy,622590
919,Yulin Guangxi,China,622115
920,Ajmer,India,621505
921,Kuching,Malaysia,621114
922,Bissau,Guinea-Bissau,620974
923,Bauchi,Nigeria,620800
924,Geneva,Switzerland,620131
925,Enshi,China,619178
926,Anshun,China,619116
927,Colombo,Sri Lanka,619001
928,Sihui,China,618859
929,Hanzhong,China,618109
930,Ujjain,India,617812
931,Gothenburg,Sweden,617781
932,Jinzhong,China,617236
933,Patiala,India,616590
934,Zahedan,Iran,616511
935,Bilaspur,India,616394
936,Louisville,United States,615924
937,San Jose del Monte,Philippines,615815
938,Hillah,Iraq,615167
939,Kryvyi Rih,Ukraine,613696
940,Yaroslavl,Russia,612502
941,Brighton,United Kingdom,612159
942,Feira De Santana,Brazil,609939
943,Vladivostok,Russia,609632
944,Comilla,Bangladesh,609345
945,Tlaxcala,Mexico,606590
946,Siping,China,604724
947,Sanhe,China,604549
948,Calabar,Nigeria,604546
949,Mathura,India,603301
950,Abakaliki,Nigeria,601712
951,Xinmi,China,600980
952,Skopje,Macedonia,600708
953,Makhachkala,Russia,600541
954,Tomsk,Russia,600254
955,Jingjiang,China,599221
956,Shishi,China,598547
957,Fuqing,China,597698
958,Sanliurfa,Turkey,596713
959,Leipzig,Germany,596230
960,Agartala,India,595210
961,Xiantao,China,594155
962,Yichun Heilongjiang,China,593871
963,Imphal,India,593524
964,Daye,China,592972
965,Mbeya,Tanzania,592579
966,Cenxi,China,592553
967,Kingston,Jamaica,592477
968,Sangli,India,592117
969,Cuiaba,Brazil,591522
970,Samarkand,Uzbekistan,591252
971,Malaga,Spain,591091
972,Ibague,Colombia,590686
973,Dortmund,Germany,589748
974,Kagoshima,Japan,588413
975,Cabimas,Venezuela,588348
976,Qitaihe,China,588212
977,Milwaukee,United States,587721
978,Catania,Italy,586049
979,Samut Sakhon,Thailand,585964
980,Likasi,DR Congo,585678
981,Beira,Mozambique,584989
982,Hamadan,Iran,584645
983,Shuozhou,China,584272
984,Tonghua,China,584209
985,Djibouti,Djibouti,583695
986,Essen,Germany,581579
987,Toulon,France,581264
988,Dresden,Germany,580877
989,Juiz De Fora,Brazil,580874
990,Bouake,Ivory Coast,580586
991,Pereira,Colombia,580225
992,Udaipur,India,580191
993,Sanmenxia,China,579273
994,Vellore,India,578956
995,Dongyang,China,578734
996,Ardabil,Iran,578222
997,Thoothukkudi,India,577945
998,Bloemfontein,South Africa,577560
999,Xinyi,China,577474
1000,Udon Thani,Thailand,576666
1001,Ogbomosho,Nigeria,576557
1002,Jalgaon,India,576506
1003,Hebi,China,576427
1004,Zaoyang,China,576057
1005,Yiyang Hunan,China,576041
1006,Gaya,India,575652
1007,Baltimore,United States,575584
1008,Yazd,Iran,575105
1009,Tirunelveli,India,574000
1010,Zhaodong,China,572358
1011,Dengfeng,China,571083
1012,Matamoros,Mexico,570752
1013,Kitchener,Canada,570681
1014,Poza Rica de Hidalgo,Mexico,570576
1015,Oujda,Morocco,570257
1016,Santa Fe,Argentina,569991
1017,Cuito,Angola,569533
1018,Orenburg,Russia,569029
1019,Cangzhou,China,568818
1020,Jiaozhou,China,568186
1021,Kemerovo,Russia,567035
1022,Bremen,Germany,566331
1023,Karbala,Iraq,565196
1024,Al-Mansurah,Egypt,565015
1025,Weinan,China,564709
1026,Anyang,South Korea,564685
1027,Mazar-e Sharif,Afghanistan,563825
1028,Kota Kinabalu,Malaysia,562824
1029,Basel,Switzerland,562710
1030,Gomel,Belarus,562405
1031,Albuquerque,United States,562281
1032,Gaozhou,China,561197
1033,Feicheng,China,560756
1034,Meknes,Morocco,560746
1035,Panipat,India,559798
1036,Kahramanmaras,Turkey,559574
1037,Irbid,Jordan,559386
1038,Arak,Iran,559300
1039,Tepic,Mexico,558052
1040,Chiang Rai,Thailand,557280
1041,Guangyuan,China,557144
1042,Leicester,United Kingdom,556930
1043,Tongchuan,China,556484
1044,Khamis Mushayt,Saudi Arabia,555589
1045,Ndola,Zambia,555560
1046,Tucson,United States,554503
1047,Imus,Philippines,553579
1048,Villavicencio,Colombia,553451
1049,Sakarya,Turkey,553438
1050,Bamenda,Cameroon,553084
1051,Shouguang,China,552602
1052,Utrecht,Netherlands,551879
1053,Rajahmundry,India,551828
1054,Novokuznetsk,Russia,549364
1055,Larkana,Pakistan,548916
1056,Basilan City,Philippines,548445
1057,Valledupar,Colombia,547790
1058,Chaoyang,China,546816
1059,Uige,Angola,546706
1060,Hamhung,North Korea,545847
1061,Sukkur,Pakistan,545349
1062,Rayong,Thailand,545307
1063,Port of Spain,Trinidad and Tobago,544305
1064,Kerman,Iran,543855
1065,Abeokuta,Nigeria,543723
1066,Mekele,Ethiopia,543622
1067,Yongkang,China,543073
1068,Edinburgh,United Kingdom,542599
1069,Haining,China,542380
1070,San Juan,Argentina,541366
1071,Ryazan,Russia,540183
1072,Vilnius,Lithuania,539978
1073,Taishan,China,539674
1074,Calamba,Philippines,539157
1075,Mesa,United States,538146
1076,Hannover,Germany,537418
1077,Fresno,United States,537100
1078,Chuzhou,China,536745
1079,Namangan,Uzbekistan,536396
1080,Pingdu,China,536334
1081,Al-Mukalla,Yemen,536256
1082,Qingzhou,China,535777
1083,Longkou,China,535497
1084,Naberezhnye Tchelny,Russia,535124
1085,Astrakhan,Russia,534762
1086,Santa Marta,Colombia,533792
1087,Ambon,Indonesia,533623
1088,Bellary,India,533505
1089,Diwaniyah,Iraq,532961
1090,Pietermaritzburg,South Africa,532766
1091,Rustenburg,South Africa,532711
1092,Heyuan,China,532613
1093,Yanshi,China,532183
1094,Al-Raqqa,Syria,531952
1095,Surakarta,Indonesia,531897
1096,Dali,China,531353
1097,Sheikhupura,Pakistan,530798
1098,Changning,China,530738
1099,Grenoble,France,530690
1100,Puerto Vallarta,Mexico,530078
1101,Balashikha,Russia,530037
1102,Angeles City,Philippines,529991
1103,Gombe,Nigeria,529283
1104,Hosur,India,528951
1105,Poznan,Poland,528457
1106,Gongyi,China,527880
1107,Van,Turkey,527682
1108,Gaoyou,China,527063
1109,Shizuishan,China,527050
1110,El Djelfa,Algeria,527033
1111,Kikwit,DR Congo,526217
1112,Ar-Rusayfah,Jordan,525880
1113,Vale do Aco,Brazil,525634
1114,Cuautla Morelos,Mexico,525498
1115,Sacramento,United States,525398
1116,Kalasin,Thailand,524519
1117,Shangyu,China,524344
1118,Atlanta,United States,524067
1119,Al-Mahallah al-Kubra,Egypt,523903
1120,Loum,Cameroon,523577
1121,Laixi,China,523107
1122,Kakinada,India,522676
1123,Rupganj,Bangladesh,522366
1124,Penza,Russia,522207
1125,Berbera,Somalia,521966
1126,Utsunomiya,Japan,521669
1127,Porto Velho,Brazil,521270
1128,Davanagere,India,520856
1129,Qianjiang,China,520601
1130,Chuxiong,China,520282
1131,Songyuan,China,519674
1132,Duisburg,Germany,519056
1133,Nakhon Pathom,Thailand,518433
1134,Muzaffarpur,India,516403
1135,Mataram,Indonesia,516280
1136,Mbouda,Cameroon,516015
1137,Zinder,Niger,515736
1138,Changge,China,515109
1139,Kirov,Russia,514996
1140,Kuantan,Malaysia,514419
1141,Ziyang,China,514110
1142,Xingning,China,513553
1143,Kandahar,Afghanistan,511949
1144,Nurenberg,Germany,511889
1145,LondonCA,Canada,511368
1146,Eslamshahr,Iran,511227
1147,Bournemouth,United Kingdom,510021
1148,Jinjiang,China,509894
1149,Khon-Kaen,Thailand,509278
1150,Cheboksary,Russia,509038
1151,Matsuyama,Japan,508241
1152,Tanta,Egypt,508012
1153,Shuangyashan,China,507257
1154,Lipetsk,Russia,505846
1155,Karaganda,Kazakhstan,505157
1156,Changyi,China,505019
1157,Arusha,Tanzania,504857
1158,Murcia,Spain,504491
1159,Malatya,Turkey,503988
1160,Guang-an,China,503551
1161,Tirana,Albania,502734
1162,Surat Thani,Thailand,502564
1163,Kansas City,United States,501957
1164,Ubon Ratchathani,Thailand,501747
1165,Kolwezi,DR Congo,501375
1166,Kabinda,DR Congo,501054
1167,Jianyang,China,500925
1168,Douai-Lens,France,500921
1169,Nanping,China,500785
